,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance
0,39,self-employed,married,tertiary,0,1047,0,0,,6,jun,1,-1,0,,16:13:56,16:23:10,1
1,37,blue-collar,married,secondary,0,408,1,0,telephone,9,feb,9,-1,0,,10:25:29,10:25:57,0
2,34,blue-collar,married,secondary,0,1454,1,0,cellular,11,feb,2,297,2,failure,10:44:06,10:47:57,1
3,64,housemaid,married,primary,0,768,0,0,cellular,15,jul,2,182,1,success,13:05:53,13:10:03,0
4,29,blue-collar,single,secondary,0,8079,0,1,cellular,10,jul,1,-1,0,,10:18:50,10:21:41,0
5,45,blue-collar,married,primary,0,412,1,0,telephone,4,feb,5,265,13,failure,10:09:00,10:09:45,0
6,46,blue-collar,married,,0,209,0,0,cellular,11,aug,2,-1,0,,14:36:31,14:37:43,0
7,26,services,single,secondary,0,127,1,1,cellular,23,jul,3,-1,0,,11:18:31,11:19:56,0
8,41,blue-collar,married,,0,665,1,0,,19,may,3,-1,0,,09:28:16,09:30:38,0
9,41,housemaid,married,secondary,0,12,0,1,cellular,28,jul,3,-1,0,,14:09:00,14:16:52,0
10,40,services,single,secondary,0,65,1,0,cellular,15,may,3,-1,0,,09:23:52,09:24:07,0
11,35,blue-collar,single,,0,422,0,0,,16,jun,1,-1,0,,13:06:03,13:08:23,0
12,34,technician,single,secondary,0,1866,0,0,cellular,8,may,3,185,1,failure,13:57:38,13:59:52,0
13,39,blue-collar,married,secondary,0,660,1,1,cellular,7,may,4,168,3,failure,14:23:03,14:24:36,0
14,43,technician,married,secondary,0,308,1,0,cellular,3,feb,3,264,4,other,14:39:03,14:41:20,0
15,69,retired,married,secondary,0,0,0,0,cellular,28,apr,2,126,2,other,15:33:11,15:36:15,1
16,32,admin.,single,secondary,0,6981,1,0,cellular,2,jun,1,194,3,failure,10:23:34,10:26:08,0
17,31,technician,single,secondary,0,622,0,0,cellular,4,feb,5,-1,0,,10:48:09,10:48:24,0
18,47,blue-collar,married,secondary,0,0,1,1,cellular,19,nov,1,-1,0,,16:23:09,16:26:25,0
19,29,management,single,tertiary,0,9407,0,0,cellular,4,may,6,-1,0,,09:08:21,09:12:48,1
20,30,student,single,,0,809,0,0,cellular,20,nov,5,171,2,failure,12:26:32,12:26:58,0
21,25,self-employed,single,,0,1179,0,0,cellular,17,aug,1,83,2,failure,13:57:12,13:57:55,0
22,24,admin.,single,tertiary,0,674,1,0,cellular,6,jul,1,-1,0,,11:47:51,11:52:18,1
23,52,management,married,tertiary,0,4675,0,0,cellular,12,feb,3,-1,0,,10:24:36,10:27:37,1
24,35,admin.,single,secondary,0,111,1,0,cellular,29,jan,1,195,3,failure,16:46:54,16:47:49,0
25,41,blue-collar,married,primary,0,3658,1,0,cellular,9,apr,1,330,1,failure,15:06:29,15:10:57,0
26,36,technician,single,secondary,0,9149,1,0,cellular,13,aug,3,-1,0,,14:57:17,14:59:38,0
27,49,housemaid,married,primary,0,640,0,0,telephone,13,aug,4,-1,0,,17:37:04,17:40:38,0
28,36,blue-collar,single,primary,0,3214,1,0,,16,jun,2,-1,0,,17:45:35,17:47:39,0
29,44,blue-collar,married,primary,0,0,1,0,cellular,6,may,1,-1,0,,13:09:20,13:09:37,0
30,32,management,divorced,tertiary,0,530,1,0,cellular,24,sep,1,114,2,failure,14:10:13,14:11:44,0
31,33,admin.,married,secondary,1,-675,1,0,,28,may,2,-1,0,,15:47:47,15:51:52,0
32,31,blue-collar,married,primary,0,554,1,0,cellular,14,may,1,352,5,failure,13:09:40,13:14:57,0
33,57,self-employed,divorced,tertiary,0,6519,0,0,cellular,20,nov,1,-1,0,,16:56:14,17:13:34,0
34,80,retired,married,primary,0,155,0,0,telephone,12,mar,1,93,2,success,14:20:06,14:24:56,1
35,35,services,single,primary,0,167,0,1,cellular,11,jul,2,-1,0,,10:35:40,10:45:54,1
36,54,retired,divorced,tertiary,0,3076,0,0,cellular,27,may,2,-1,0,,15:50:49,15:56:56,1
37,60,retired,divorced,secondary,0,1091,0,0,cellular,30,jul,5,-1,0,,09:56:50,10:04:11,1
38,58,technician,married,secondary,0,5618,1,0,cellular,20,nov,2,189,1,failure,09:16:38,09:22:39,0
39,27,services,single,secondary,0,194,1,0,,16,may,1,-1,0,,11:16:08,11:21:34,0
40,51,retired,married,primary,0,67,0,0,,18,jun,1,-1,0,,15:46:22,16:00:17,1
41,34,management,single,tertiary,0,1,0,0,cellular,19,nov,1,-1,0,,14:09:07,14:18:49,0
42,46,technician,married,secondary,0,940,0,0,cellular,5,aug,2,-1,0,,17:55:35,18:16:02,1
43,37,housemaid,married,secondary,0,589,1,0,cellular,25,jul,2,-1,0,,16:48:14,16:53:49,0
44,35,services,married,secondary,0,-489,1,0,,9,jun,2,-1,0,,13:53:11,13:54:41,0
45,27,admin.,married,secondary,0,941,1,0,cellular,11,jul,1,-1,0,,14:34:29,14:36:33,0
46,35,blue-collar,single,secondary,0,219,1,1,,29,may,1,-1,0,,13:47:00,13:49:41,0
47,40,services,married,secondary,0,1293,1,0,cellular,13,apr,3,-1,0,,11:14:12,11:16:20,0
48,37,management,married,tertiary,0,0,1,0,cellular,23,apr,5,153,7,failure,12:34:51,12:38:53,1
49,37,blue-collar,married,secondary,0,-4,1,1,,29,may,1,-1,0,,14:46:06,14:52:27,0
50,27,unemployed,single,primary,0,9,0,1,cellular,9,jul,2,-1,0,,10:57:49,11:13:08,1
51,46,admin.,divorced,secondary,0,2196,0,0,cellular,28,jul,5,-1,0,,09:43:15,09:52:48,1
52,27,blue-collar,single,secondary,1,-27,0,0,,23,jun,2,-1,0,,12:36:53,12:45:11,1
53,30,management,single,tertiary,0,2,1,1,cellular,25,jul,8,-1,0,,09:08:52,09:26:03,1
54,32,blue-collar,married,secondary,0,356,1,0,cellular,8,may,3,-1,0,,12:25:25,12:32:56,0
55,69,retired,divorced,primary,0,482,0,0,cellular,2,jul,2,-1,0,,17:02:05,17:06:25,1
56,31,management,single,tertiary,0,38279,0,0,cellular,16,jul,2,-1,0,,10:34:52,10:38:37,0
57,38,blue-collar,married,secondary,0,1165,1,0,cellular,13,aug,3,94,10,failure,12:48:09,13:01:13,1
58,35,management,married,tertiary,0,775,0,0,,27,jul,1,-1,0,,16:36:55,16:37:04,0
59,34,management,married,tertiary,0,519,0,0,cellular,11,aug,3,-1,0,,14:44:45,14:45:42,0
60,45,services,married,secondary,0,-839,1,0,,28,may,1,-1,0,,13:38:40,13:39:48,0
61,76,housemaid,divorced,primary,0,1411,0,0,telephone,15,apr,3,-1,0,,15:12:49,15:15:39,1
62,43,management,divorced,tertiary,0,388,1,0,,8,may,2,-1,0,,11:26:17,12:01:04,1
63,66,retired,married,secondary,0,3409,0,0,cellular,19,oct,3,160,3,failure,14:44:23,14:46:36,0
64,26,student,single,secondary,0,620,0,0,cellular,22,may,1,94,1,success,12:09:30,12:13:13,1
65,58,retired,married,secondary,0,2714,0,0,cellular,26,may,1,287,2,failure,16:17:46,16:20:31,1
66,31,management,single,tertiary,0,515,0,0,cellular,1,jun,5,-1,0,,16:10:41,16:15:37,1
67,58,management,married,tertiary,0,1384,1,0,cellular,27,mar,1,-1,0,,15:40:21,15:46:03,1
68,51,blue-collar,married,secondary,0,0,1,0,,5,may,2,-1,0,,09:17:56,09:20:49,0
69,21,technician,single,secondary,0,519,0,0,,4,oct,1,-1,0,,12:22:31,12:22:36,0
70,43,blue-collar,married,secondary,0,699,1,1,cellular,20,nov,2,122,2,other,12:28:18,12:49:16,1
71,43,management,single,tertiary,0,1046,0,0,,9,jun,1,-1,0,,15:27:56,15:42:57,1
72,39,technician,married,secondary,0,603,0,1,cellular,15,apr,1,-1,0,,14:14:44,14:18:18,1
73,43,admin.,married,secondary,0,1138,0,0,cellular,16,apr,2,-1,0,,14:28:22,14:30:34,0
74,30,entrepreneur,single,tertiary,0,-63,1,0,,3,jun,1,-1,0,,15:12:17,15:13:51,0
75,44,housemaid,single,primary,0,1059,0,0,,18,jun,1,-1,0,,15:04:07,15:39:00,1
76,56,management,married,tertiary,0,171,0,1,telephone,17,jul,2,-1,0,,15:34:05,15:44:15,0
77,35,technician,married,tertiary,0,7050,0,0,cellular,11,aug,3,182,4,success,10:49:28,10:53:10,1
78,49,admin.,married,secondary,0,3608,1,0,cellular,30,apr,1,168,1,success,12:15:00,12:19:12,1
